id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,text
105,Foxy Lady,alcoholic,ordinary drink,cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,"['amaretto', 'creme de cacao', 'light cream']","['1/2 oz ', '1/2 oz ', '2 oz ']","question Generate a cocktail with Amaretto Creme de Cacao Light cream answer Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
106,French 75,alcoholic,ordinary drink,collins glass,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",https://www.thecocktaildb.com/images/media/drink/hrxfbl1606773109.jpg,"['gin', 'sugar', 'lemon juice', 'champagne', 'orange', 'maraschino cherry']","['1 1/2 oz ', '2 tsp superfine ', '1 1/2 oz ', '4 oz Chilled ', '1 ', '1 ']","question Generate a cocktail with Gin Sugar Lemon juice Champagne Orange Maraschino cherry answer Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
107,Figgy Thyme,alcoholic,cocktail,highball glass,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.",https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg,"['vodka', 'honey', 'figs', 'thyme', 'angostura bitters', 'tonic water']","['2 oz', '1 tsp', '3', '1 Sprig', '2 dashes', 'Top']","question Generate a cocktail with Vodka Honey Figs Thyme Angostura Bitters Tonic Water answer In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme."
108,Frisco Sour,alcoholic,ordinary drink,whiskey sour glass,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,https://www.thecocktaildb.com/images/media/drink/acuvjz1582482022.jpg,"['blended whiskey', 'benedictine', 'lemon', 'lime', 'lemon', 'lime']","['2 oz ', '1/2 oz ', 'Juice of 1/4 ', 'Juice of 1/2 ', '1 slice ', '1 slice ']",question Generate a cocktail with Blended whiskey Benedictine Lemon Lime Lemon Lime answer Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.
109,Fruit Shake,non alcoholic,other / unknown,highball glass,Blend til smooth.,https://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg,"['yoghurt', 'banana', 'orange juice', 'fruit', 'ice']","['1 cup fruit ', '1 ', '4 oz frozen ', '1/2 piece textural ', '6 ']",question Generate a cocktail with Yoghurt Banana Orange juice Fruit Ice answer Blend til smooth.
110,Fruit Cooler,non alcoholic,other / unknown,highball glass,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",https://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg,"['apple juice', 'strawberries', 'sugar', 'lemon', 'apple', 'soda water', 'ice']","['1 can frozen ', '1 cup ', '2 tblsp ', '1 ', '1 ', '1 L ', 'to taste']","question Generate a cocktail with Apple juice Strawberries Sugar Lemon Apple Soda water Ice answer Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve."
111,Freddy Kruger,alcoholic,shot,shot glass,make it an ample size shot!!,https://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg,"['jägermeister', 'sambuca', 'vodka']","['1/2 oz ', '1/2 oz ', '1/2 oz ']",question Generate a cocktail with Jägermeister Sambuca Vodka answer make it an ample size shot!!
112,Funk and Soul,alcoholic,cocktail,collins glass,Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg,"['rum', 'apricot nectar', 'pomegranate juice', 'lemon', 'soda water']","['2 shots', '1 shot', '1 shot', 'Juice of 1/2', 'Top']",question Generate a cocktail with Rum Apricot Nectar Pomegranate juice lemon Soda Water answer Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.
113,Fuzzy Asshole,alcoholic,coffee / tea,coffee mug,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,https://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg,"['coffee', 'peach schnapps']","['1/2 ', '1/2 ']",question Generate a cocktail with Coffee Peach schnapps answer fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.
114,French Martini,alcoholic,cocktail,cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,"['vodka', 'raspberry liqueur', 'pineapple juice']","['4.5 cl', '1.5 cl', '1.5 cl']",question Generate a cocktail with Vodka Raspberry Liqueur pineapple juice answer Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
115,French Negroni,alcoholic,cocktail,martini glass,"Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg,"['gin', 'lillet', 'sweet vermouth', 'orange peel']","['1 oz', '1 oz', '1 oz', '1']","question Generate a cocktail with Gin Lillet Sweet Vermouth Orange Peel answer Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist."
116,Fahrenheit 5000,alcoholic,shot,shot glass,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,https://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg,"['firewater', 'absolut peppar', 'tabasco sauce']","['1/2 oz ', '1/2 oz ', '1 dash ']",question Generate a cocktail with Firewater Absolut Peppar Tabasco sauce answer Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.
117,Flying Dutchman,alcoholic,ordinary drink,old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",https://www.thecocktaildb.com/images/media/drink/mwko4q1582482903.jpg,"['gin', 'triple sec']","['2 oz ', '1/2 oz ']","question Generate a cocktail with Gin Triple sec answer In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well."
118,Frozen Daiquiri,alcoholic,ordinary drink,champagne flute,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,"['light rum', 'triple sec', 'lime juice', 'sugar', 'cherry', 'ice']","['1 1/2 oz ', '1 tblsp ', '1 1/2 oz ', '1 tsp ', '1 ', '1 cup crushed ']","question Generate a cocktail with Light rum Triple sec Lime juice Sugar Cherry Ice answer Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
119,Fruit Flip-Flop,non alcoholic,other / unknown,highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/nfdx6p1484430633.jpg,"['yoghurt', 'fruit juice']","['1 cup ', '1 cup ']","question Generate a cocktail with Yoghurt Fruit juice answer Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
120,Flying Scotchman,alcoholic,ordinary drink,cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/q53l911582482518.jpg,"['scotch', 'sweet vermouth', 'bitters', 'sugar syrup']","['1 oz ', '1 oz ', '1 dash ', '1/4 tsp ']","question Generate a cocktail with Scotch Sweet Vermouth Bitters Sugar syrup answer Shake all ingredients with ice, strain into a cocktail glass, and serve."
121,French Connection,alcoholic,ordinary drink,old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,https://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg,"['cognac', 'amaretto']","['1 1/2 oz ', '3/4 oz ']",question Generate a cocktail with Cognac Amaretto answer Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
122,Flaming Dr. Pepper,alcoholic,shot,collins glass,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",https://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg,"['amaretto', 'vodka', '151 proof rum', 'dr. pepper', 'beer']","['1 oz ', '1 oz ', '1 oz Bacardi ', '1 oz ', '1 oz ']","question Generate a cocktail with Amaretto Vodka 151 proof rum Dr. Pepper Beer answer Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer"
123,Flaming Lamborghini,alcoholic,cocktail,cocktail glass,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",https://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg,"['kahlua', 'sambuca', 'blue curacao', 'baileys irish cream']","['1 oz ', '1 oz ', '1 oz ', '1 oz ']","question Generate a cocktail with Kahlua Sambuca Blue Curacao Baileys irish cream answer Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!"
124,Flander's Flake-Out,alcoholic,ordinary drink,collins glass,Bang 'em both in.,https://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg,"['sambuca', 'sarsaparilla']","['1/4 glass ', '3/4 glass ']",question Generate a cocktail with Sambuca Sarsaparilla answer Bang 'em both in.
125,Frozen Mint Daiquiri,alcoholic,ordinary drink,old-fashioned glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,https://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg,"['light rum', 'lime juice', 'mint', 'sugar']","['2 oz ', '1 tblsp ', '6 ', '1 tsp ']",question Generate a cocktail with Light rum Lime juice Mint Sugar answer Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
126,Frozen Pineapple Daiquiri,alcoholic,ordinary drink,cocktail glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/k3aecd1582481679.jpg,"['light rum', 'pineapple', 'lime juice', 'sugar']","['1 1/2 oz ', '4 chunks ', '1 tblsp ', '1/2 tsp ']",question Generate a cocktail with Light rum Pineapple Lime juice Sugar answer Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.
127,GG,optional alcohol,ordinary drink,collins glass,Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.,https://www.thecocktaildb.com/images/media/drink/vyxwut1468875960.jpg,"['galliano', 'ginger ale', 'ice']","['2 1/2 shots ', 'to taste', 'to taste']",question Generate a cocktail with Galliano Ginger ale Ice answer Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.
128,Gimlet,alcoholic,cocktail,martini glass,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.",https://www.thecocktaildb.com/images/media/drink/3xgldt1513707271.jpg,"['gin', 'lime juice', 'sugar syrup', 'lime']","['2 1/2 oz', '1/2 oz', '1/2 oz', '1']","question Generate a cocktail with Gin Lime Juice Sugar Syrup Lime answer Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel."
129,Godchild,alcoholic,ordinary drink,champagne flute,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",https://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,"['vodka', 'amaretto', 'heavy cream']","['1 oz ', '1 oz ', '1 oz ']","question Generate a cocktail with Vodka Amaretto Heavy cream answer Shake all ingredients well with cracked ice, strain into a champagne flute, and serve."
130,Gin Fizz,alcoholic,ordinary drink,highball glass,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",https://www.thecocktaildb.com/images/media/drink/drtihp1606768397.jpg,"['gin', 'lemon', 'powdered sugar', 'carbonated water']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', 'to taste']","question Generate a cocktail with Gin Lemon Powdered sugar Carbonated water answer Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water."
131,Gin Sour,alcoholic,ordinary drink,whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",https://www.thecocktaildb.com/images/media/drink/noxp7e1606769224.jpg,"['gin', 'lemon juice', 'sugar', 'orange', 'maraschino cherry']","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1 ', '1 ']","question Generate a cocktail with Gin Lemon juice Sugar Orange Maraschino cherry answer In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
132,Gagliardo,alcoholic,cocktail,cocktail glass,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",https://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg,"['peach vodka', 'lemon juice', 'galliano', 'sirup of roses']","['5 parts ', '3 parts ', '1 part ', '1 part ']","question Generate a cocktail with Peach Vodka Lemon juice Galliano Sirup of roses answer Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy."
133,Godmother,alcoholic,ordinary drink,old-fashioned glass,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,https://www.thecocktaildb.com/images/media/drink/quksqg1582582597.jpg,"['vodka', 'amaretto']","['1 1/2 oz ', '3/4 oz ']",question Generate a cocktail with Vodka Amaretto answer Pour vodka and amaretto into an old-fashioned glass over ice and serve.
134,Godfather,alcoholic,ordinary drink,old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,https://www.thecocktaildb.com/images/media/drink/e5zgao1582582378.jpg,"['scotch', 'amaretto']","['1 1/2 oz ', '3/4 oz ']",question Generate a cocktail with Scotch Amaretto answer Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
135,Gluehwein,optional alcohol,punch / party drink,irish coffee cup,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",https://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,"['red wine', 'water', 'sugar', 'cinnamon', 'cloves', 'lemon peel']","['1 L ', '125 ml ', '60 gr ', '1 ', '3 ', '1 tblsp ']","question Generate a cocktail with Red wine Water Sugar Cinnamon Cloves Lemon peel answer Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup."
136,Gin Tonic,alcoholic,cocktail,highball glass,"Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.",https://www.thecocktaildb.com/images/media/drink/qcgz0t1643821443.jpg,"['gin', 'tonic water', 'lemon peel', 'ice']","['4 cl', '10 cl', '1 Slice', 'cubes']","question Generate a cocktail with Gin Tonic Water Lemon Peel Ice answer Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge."
137,Gin Toddy,alcoholic,ordinary drink,old-fashioned glass,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",https://www.thecocktaildb.com/images/media/drink/jxstwf1582582101.jpg,"['gin', 'water', 'powdered sugar', 'lemon peel']","['2 oz ', '2 tsp ', '1/2 tsp ', '1 twist of ']","question Generate a cocktail with Gin Water Powdered sugar Lemon peel answer Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve."
138,Gin Smash,alcoholic,ordinary drink,old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/iprva61606768774.jpg,"['gin', 'carbonated water', 'sugar', 'mint', 'orange', 'cherry']","['2 oz ', '1 oz ', '1 cube ', '4 ', '1 slice ', '1 ']","question Generate a cocktail with Gin Carbonated water Sugar Mint Orange Cherry answer Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve."
139,Gin Daisy,alcoholic,ordinary drink,old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",https://www.thecocktaildb.com/images/media/drink/z6e22f1582581155.jpg,"['gin', 'lemon juice', 'sugar', 'grenadine', 'maraschino cherry', 'orange']","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1/2 tsp ', '1 ', '1 ']","question Generate a cocktail with Gin Lemon juice Sugar Grenadine Maraschino cherry Orange answer In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice."
140,Gin Lemon,alcoholic,cocktail,highball glass,"For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.",https://www.thecocktaildb.com/images/media/drink/6gdohq1681212476.jpg,"['gin', 'lemon juice', 'lemon peel', 'ice']","['6 cl', '8 cl', '1 Slice', 'cubes']","question Generate a cocktail with Gin Lemon Juice Lemon Peel Ice answer For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served."
141,Gin Sling,alcoholic,ordinary drink,old-fashioned glass,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,https://www.thecocktaildb.com/images/media/drink/8cl9sm1582581761.jpg,"['gin', 'lemon', 'powdered sugar', 'water', 'orange peel']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 tsp ', 'Twist of ']",question Generate a cocktail with Gin Lemon Powdered sugar Water Orange peel answer Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.
142,Greyhound,alcoholic,cocktail,collins glass,"Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

",https://www.thecocktaildb.com/images/media/drink/g5upn41513706732.jpg,"['vodka', 'grapefruit juice']","['1 1/2 oz', '3 oz']","question Generate a cocktail with Vodka Grapefruit Juice answer Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

"
143,Gin Rickey,alcoholic,cocktail,highball glass,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,https://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,"['gin', 'grenadine', 'lemon', 'soda water', 'lime']","['2 oz ', '1 tsp ', 'Juice of 1/2 ', 'Top up with', 'Garnish']",question Generate a cocktail with Gin Grenadine lemon Soda Water Lime answer Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.
144,Gin Squirt,alcoholic,ordinary drink,highball glass,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",https://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,"['gin', 'grenadine', 'powdered sugar', 'pineapple', 'strawberries', 'carbonated water']","['1 1/2 oz ', '1 tsp ', '1 tblsp ', '3 chunks', '2 ', 'to taste']","question Generate a cocktail with Gin Grenadine Powdered sugar Pineapple Strawberries Carbonated water answer Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve."
145,Grand Blue,alcoholic,ordinary drink,old-fashioned glass,Serve in an old fashioned glass.,https://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,"['malibu rum', 'peach schnapps', 'blue curacao', 'sweet and sour']","['1 1/2 cl ', '1 1/2 cl ', '1 1/2 cl ', '3 cl ']",question Generate a cocktail with Malibu rum Peach schnapps Blue Curacao Sweet and sour answer Serve in an old fashioned glass.
146,Gin Cooler,alcoholic,ordinary drink,collins glass,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,https://www.thecocktaildb.com/images/media/drink/678xt11582481163.jpg,"['gin', 'carbonated water', 'powdered sugar', 'orange spiral', 'lemon peel']","['2 oz ', 'to taste', 'to taste', 'to taste', 'to taste']",question Generate a cocktail with Gin Carbonated water Powdered sugar Orange spiral Lemon peel answer Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.
147,Gin Swizzle,alcoholic,ordinary drink,highball glass,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",https://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,"['lime juice', 'sugar', 'gin', 'bitters', 'club soda']","['1 1/2 oz ', '1 tsp superfine ', '2 oz ', '1 dash ', '3 oz ']","question Generate a cocktail with Lime juice Sugar Gin Bitters Club soda answer In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda."
148,Grass Skirt,alcoholic,ordinary drink,old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",https://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,"['gin', 'triple sec', 'pineapple juice', 'grenadine', 'pineapple']","['1 1/2 oz ', '1 oz ', '1 oz ', '1/2 tsp ', '1 ']","question Generate a cocktail with Gin Triple sec Pineapple juice Grenadine Pineapple answer In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice."
149,Grasshopper,alcoholic,ordinary drink,cocktail glass,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,"['green creme de menthe', 'creme de cacao', 'light cream']","['3/4 oz ', '3/4 oz white ', '3/4 oz ']",question Generate a cocktail with Green Creme de Menthe Creme de Cacao Light cream answer Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.
150,Grim Reaper,alcoholic,ordinary drink,old-fashioned glass,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,https://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,"['kahlua', '151 proof rum', 'grenadine']","['1 oz ', '1 oz Bacardi ', '1 dash ']",question Generate a cocktail with Kahlua 151 proof rum Grenadine answer Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.
151,Gin and Soda,alcoholic,cocktail,highball glass,"Pour the Gin and Soda water into a highball glass almost filled with ice cubes.
Stir well.
Garnish with the lime wedge.",https://www.thecocktaildb.com/images/media/drink/nzlyc81605905755.jpg,"['gin', 'soda water', 'lime']","['2 oz', '5 oz', '1/4']","question Generate a cocktail with Gin Soda Water Lime answer Pour the Gin and Soda water into a highball glass almost filled with ice cubes.
Stir well.
Garnish with the lime wedge."
152,H.D.,alcoholic,coffee / tea,beer mug,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,https://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,"['whisky', 'baileys irish cream', 'coffee']","['4 cl ', '8 cl ', 'to taste']",question Generate a cocktail with Whisky Baileys irish cream Coffee answer Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.
153,Honey Bee,alcoholic,cocktail,margarita glass,"Shake ingredients with crushed ice
",https://www.thecocktaildb.com/images/media/drink/vu8l7t1582475673.jpg,"['white rum', 'honey', 'lemon juice']","['6 cl', '2 cl', '2 cl']","question Generate a cocktail with White Rum Honey Lemon Juice answer Shake ingredients with crushed ice
"
154,Hot Toddy,alcoholic,cocktail,irish coffee cup,"STEP 1
Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.

STEP 2
Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately.",https://www.thecocktaildb.com/images/media/drink/ggx0lv1613942306.jpg,"['whiskey', 'honey', 'cinnamon', 'lemon', 'cloves']","['50 ml', '15 ml', '1', '1', '2']","question Generate a cocktail with Whiskey Honey Cinnamon lemon Cloves answer STEP 1
Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.

STEP 2
Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately."
155,Herbal flame,alcoholic,coffee / tea,mason jar,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",https://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,"['hot damn', 'tea']","['5 shots ', 'very sweet ']","question Generate a cocktail with Hot Damn Tea answer Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in."
